Name,Artists,Album,Release Date
Jala Jala Jalapaatham Nuvvu,"Jaspreet Jasz , Shreya Ghoshal",Uppena,2020-03-02
Hey Idi Nenena,"Thaman S,Sid Sriram",Solo Brathuke So Better (Original Motion Picture Soundtrack),2020-12-11
Nuvvu Naatho Emannavo,S. P. Balasubrahmanyam,Disco Raja (Original Motion Picture Soundtrack),2019-10-19
Tharagathi Gadhi,Kala Bhairava,Colour Photo,2020-08-27
Singles Anthem - Telugu,"Anurag Kulkarni,Mahati Swara Sagar",Bheeshma,2020-02-19
Bullet,Mangli,George Reddy (Original Motion Picture Soundtrack),2019-11-22
Kadalalle,"Sid Sriram,Aishwarya Ravichandran",Dear Comrade,2019-07-23
"Psycho Saiyaan (From ""Saaho"")","Anirudh Ravichander,Dhvani Bhanushali,Tanishk Bagchi","Psycho Saiyaan (From ""Saaho"")",2019-07-08
He’S Soo Cute,Madhu Priya,Sarileru Neekevvaru,2020-01-06
Emai Poyave,Sid Sriram,Padi Padi Leche Manasu,2018-12-10
Nee Neeli Kannullona,Gowtham Bharadwaj,Dear Comrade,2019-07-23
Guruvaram,Vijay Prakash,Kirrak Party,2018-03-10
Mandaara,Shreya Ghoshal,Bhaagamathie,2018-01-01
Baitikochi Chuste,Anirudh Ravichander,Agnyaathavaasi,2017-11-07
Undiporaadhey,Sid Sriram,Hushaaru,2018-10-01
