Name,Artists,Album,Release Date
"Kalallo (From ""Virupaksha"")","B. Ajaneesh Loknath,Anurag Kulkarni,Madhushree","Kalallo (From ""Virupaksha"")",2023-04-17
Raa Silaka,"Kalyani Malik,Deepu,Vaishnavi kovvuri,Kasarla Shyam",Intinti Ramayanam,2023-01-07
"Jhoom Jhoom (From ""Spy"")","Anurag Kulkarni,Ramya Behara,Vishal Chandrashekar,Kittu Vissapragada","Jhoom Jhoom (From ""Spy"")",2023-06-12
BRO Slokam,Thaman S,BRO,2023-05-25
"Thaagudhaam Thaagi Ugudhaam (From ""Bootcut Balaraju"")","Bheems Ceciroleo,Rahul Sipligunj","Thaagudhaam Thaagi Ugudhaam (From ""Bootcut Balaraju"")",2023-06-12
Kalaya Nijama,"Mohith Rahmanic,K. S. Chithra,Lakshmi Priyanka",Calling Sahasra,2023-06-07
Nijame Ne Chebutunna,"Sid Sriram,Shekar Chandra",Ooru Peru Bhairavakona,2023-03-31
Intinti Ramayanam,"Madeen SK,Mangli,Kasarla Shyam",Intinti Ramayanam,2023-06-05
"Ipudey Parichayame (From ""Manu Charitra"")","Armaan Malik,Gopi Sundar","Ipudey Parichayame (From ""Manu Charitra"")",2023-06-03
"Oopirey - From ""Takkar""","Nivas K Prasanna,Abhay Jodhpurkar,Sanjana Kalmanje","Oopirey (From ""Takkar"")",2023-05-26
"Nachesave Pilla Nachesave (From ""Mechanic"")","Sid Sriram,Vinod Yajamanya","Nachesave Pilla Nachesave (From ""Mechanic"")",2023-06-02
"Jai Shri Ram (From ""Adipurush"") [TELUGU]","Ajay-Atul,Manoj Muntashir,Ramajogayya Sastry","Jai Shri Ram (From ""Adipurush"")[TELUGU]",2023-05-20
Malle Raja,Mohana Bhogaraju,Malle Raja,2023-05-31
"Naalo Nene Lenu (From ""Rules Ranjann"")","Sarath Santosh,Amrish","Naalo Nene Lenu (From ""Rules Ranjann"")",2023-05-15
"Ager Bomb (From ""Men Too"")","Osho Venkat,Naresh Mamindla,Krishna Chaitanya","Ager Bomb (From ""Men Too"") - Single",2023-04-16
Vellake,"Bharatt-Saurabh,Yazin Nizar,Anirudh Ravichander",Vellake,2023-05-12
"Nachavule Nachavule (From ""Virupaksha"")","B. Ajaneesh Loknath,Karthik","Nachavule Nachavule (From ""Virupaksha"")",2023-03-24
"Ringa Ringa Rosey (From ""Atharva"")","Javed Ali,Sricharan Pakala","Ringa Ringa Rosey (From ""Atharva"")",2023-05-14
"Wild Saala (From ""Agent"")","Sravana Bhargavi,Bheems Ceciroleo,Swathi Reddy UK,Amala Chebolu","Wild Saala (From ""Agent"")",2023-04-25
"Raju Naa Balaraju (From ""Bootcut Balaraju"")","Bheems Ceciroleo,Swathi Reddy","Raju Naa Balaraju (From ""Bootcut Balaraju"")",2023-05-12
Jai Shri Ram (TELUGU),"Ajay-Atul,Ramajogayya Sastry",Jai Shri Ram (TELUGU),2023-04-22
"Hey Athirike Usko Ra - From ""Rudhrudu""","ofRO,Rakendu Mouli,Deepak Blue","Hey Athirike Usko Ra (From ""Rudhrudu"")",2023-04-25
"iPhone Song (From ""Ramabanam"")","Mickey J. Meyer,Ram Miriyala,Mohana Bhogaraju","iPhone Song (From ""Ramabanam"")",2023-04-06
Ragile Jwaale,B. Ajaneesh Loknath,Virupaksha (Original Motion Picture Soundtrack),2023-04-22
"Rama Krishna (From ""Agent"")","Ram Miriyala,Hiphop Tamizha","Rama Krishna (From ""Agent"")",2023-04-13
"Vesavi Kalam (From ""Kalyanamastu "")","Yazin Nizar,Aditi Bhavaraju","Vesavi Kalam (From ""Kalyanamastu "") [Original Motion Picture Soundtrack]",2023-04-23
Ayyayyo,"The Fantasia Men,Suresh Banisetti",Ayyayyo,2023-03-17
"Celebration of Vennela (From ""Dasara"")",Santhosh Narayanan,"Celebration of Vennela (From ""Dasara"") - Single",2023-04-11
Vinave Pilla,"Kamran,Junaid Kumar,MaaHaa",Vinave Pilla,2023-04-11
"Chelli Vinave (From ""Bichagadu 2"")","Vijay Antony,Anurag Kulkarni,Bhashyasree","Chelli Vinave (From ""Bichagadu 2"") - Single",2023-04-14
"Oh Ammalaalo Ammalaalo (From ""Dasara"")","Anurag Kulkarni,Santhosh Narayanan,Rehman","Oh Ammalaalo Ammalaalo (From ""Dasara"") - Single",2023-03-29
