"name","artists","album","release_date"
"You Right                                         ","""Doja Cat                                         ","The Weeknd""                                       ",
"Take My Breath                                    ","The Weeknd                                        ","Dawn FM                                           ","2022-01-06"
"Die For You                                       ","The Weeknd                                        ","Starboy                                           ","2016-11-25"
"Is There Someone Else?                            ","The Weeknd                                        ","Dawn FM                                           ","2022-01-06"
"Heartless                                         ","The Weeknd                                        ","After Hours                                       ","2020-03-20"
"Out of Time                                       ","The Weeknd                                        ","Dawn FM                                           ","2022-01-06"
"Party Monster                                     ","The Weeknd                                        ","Starboy                                           ","2016-11-25"
"Lost in the Fire (feat. The Weeknd)               ","""Gesaffelstein                                    ","The Weeknd""                                       ",
"Less Than Zero                                    ","The Weeknd                                        ","Dawn FM                                           ","2022-01-06"
"Often                                             ","The Weeknd                                        ","Beauty Behind The Madness                         ","2015-08-28"
"Pray For Me                                       ","""The Weeknd                                       ","Kendrick Lamar""                                   ",
"Nothing Is Lost (You Give Me Strength)            ","The Weeknd                                        ","Avatar: The Way of Water (Original Motion Picture ","2022-12-15"
"Wicked Games - Original                           ","The Weeknd                                        ","House Of Balloons (Original)                      ","2011-03-21"
"In The Night                                      ","The Weeknd                                        ","Beauty Behind The Madness                         ","2015-08-28"
"High For This - Original                          ","The Weeknd                                        ","House Of Balloons (Original)                      ","2011-03-21"
"LA FAMA                                           ","""ROSALÍA                                          ","The Weeknd""                                       ",
"Acquainted                                        ","The Weeknd                                        ","Beauty Behind The Madness                         ","2015-08-28"
"Hurt You                                          ","""The Weeknd                                       ","Gesaffelstein""                                    ",
"Over Now (with The Weeknd)                        ","""Calvin Harris                                    ","The Weeknd""                                       ",
"The Morning - Original                            ","The Weeknd                                        ","House Of Balloons (Original)                      ","2011-03-21"
"Try Me                                            ","The Weeknd                                        ","""My Dear Melancholy                               ",
"House Of Balloons / Glass Table Girls - Original  ","The Weeknd                                        ","House Of Balloons (Original)                      ","2011-03-21"
"False Alarm                                       ","The Weeknd                                        ","Starboy                                           ","2016-11-25"
"Best Friends                                      ","The Weeknd                                        ","Dawn FM                                           ","2022-01-06"
"Power is Power (feat. The Weeknd & Travis Scott)  ","""SZA                                              ","The Weeknd                                        ",
"Sidewalks                                         ","""The Weeknd                                       ","Kendrick Lamar""                                   ",
"Hawái - Remix                                     ","""Maluma                                           ","The Weeknd""                                       ",
"Wasted Times                                      ","The Weeknd                                        ","""My Dear Melancholy                               ",
"A Lonely Night                                    ","The Weeknd                                        ","Starboy                                           ","2016-11-25"
"Name                                              ","Artists                                           ","Album                                             ",
"Dance The Night (From Barbie The Album)           ","Dua Lipa                                          ","Dance The Night (From Barbie The Album)           ","2023-05-25"
