"name","artists","album","release_date"
"""Thaagudhaam Thaagi Ugudhaam (From """"Bootcut Balar","""Bheems Ceciroleo                                 ","Rahul Sipligunj""                                  ",
"Kalaya Nijama                                     ","""Mohith Rahmanic                                  ","K. S. Chithra                                     ",
"Nijame Ne Chebutunna                              ","""Sid Sriram                                       ","Shekar Chandra""                                   ",
"Intinti Ramayanam                                 ","""Madeen SK                                        ","Mangli                                            ",
"""Ipudey Parichayame (From """"Manu Charitra"""")""     ","""Armaan Malik                                     ","Gopi Sundar""                                      ",
"""Oopirey - From """"Takkar""""""                       ","""Nivas K Prasanna                                 ","Abhay Jodhpurkar                                  ",
"""Nachesave Pilla Nachesave (From """"Mechanic"""")""   ","""Sid Sriram                                       ","Vinod Yajamanya""                                  ",
"""Jai Shri Ram (From """"Adipurush"""") [TELUGU]""      ","""Ajay-Atul                                        ","Manoj Muntashir                                   ",
"Malle Raja                                        ","Mohana Bhogaraju                                  ","Malle Raja                                        ","2023-05-31"
"""Naalo Nene Lenu (From """"Rules Ranjann"""")""        ","""Sarath Santosh                                   ","Amrish""                                           ",
"""Ager Bomb (From """"Men Too"""")""                    ","""Osho Venkat                                      ","Naresh Mamindla                                   ",
"Vellake                                           ","""Bharatt-Saurabh                                  ","Yazin Nizar                                       ",
"""Nachavule Nachavule (From """"Virupaksha"""")""       ","""B. Ajaneesh Loknath                              ","Karthik""                                          ",
"""Ringa Ringa Rosey (From """"Atharva"""")""            ","""Javed Ali                                        ","Sricharan Pakala""                                 ",
"""Wild Saala (From """"Agent"""")""                     ","""Sravana Bhargavi                                 ","Bheems Ceciroleo                                  ",
"""Raju Naa Balaraju (From """"Bootcut Balaraju"""")""   ","""Bheems Ceciroleo                                 ","Swathi Reddy""                                     ",
"Jai Shri Ram (TELUGU)                             ","""Ajay-Atul                                        ","Ramajogayya Sastry""                               ",
"""Hey Athirike Usko Ra - From """"Rudhrudu""""""        ","""ofRO                                             ","Rakendu Mouli                                     ",
"""iPhone Song (From """"Ramabanam"""")""                ","""Mickey J. Meyer                                  ","Ram Miriyala                                      ",
"Ragile Jwaale                                     ","B. Ajaneesh Loknath                               ","Virupaksha (Original Motion Picture Soundtrack)   ","2023-04-22"
"""Rama Krishna (From """"Agent"""")""                   ","""Ram Miriyala                                     ","Hiphop Tamizha""                                   ",
"""Vesavi Kalam (From """"Kalyanamastu """")""           ","""Yazin Nizar                                      ","Aditi Bhavaraju""                                  ",
"Ayyayyo                                           ","""The Fantasia Men                                 ","Suresh Banisetti""                                 ",
"""Celebration of Vennela (From """"Dasara"""")""        ","Santhosh Narayanan                                ","""Celebration of Vennela (From """"Dasara"""") - Single","2023-04-11"
"Vinave Pilla                                      ","""Kamran                                           ","Junaid Kumar                                      ",
"""Chelli Vinave (From """"Bichagadu 2"""")""            ","""Vijay Antony                                     ","Anurag Kulkarni                                   ",
"""Oh Ammalaalo Ammalaalo (From """"Dasara"""")""        ","""Anurag Kulkarni                                  ","Santhosh Narayanan                                ",
